title,Award Number,year,creator
Phase I Clinical Trial Unit for Therapeutics,272200800026C-1-0-1,2008,
Phase I Clinical Trial Unit for Therapeutics,272200800026C-1-0-2,2008,
Clinical Agent and Specimen Repository,272200800044C-0-0-1,2008,
HIV-1 VACCINE CANDIDATES DELIVERED BY VSV VECTORS,272200800061C-1-0-1,2009,"ELDRIDGE, JOHN;"
HIV-1 VACCINE CANDIDATES DELIVERED BY VSV VECTORS,272200800061C-2-0-1,2010,"ELDRIDGE, JOHN;"
THERAPEUTIC IMMUNIZATION AGAINST HIV WITH ADJUVANT-ENHANCED DNA AND MULTI-EPITOP,272200800062C-1-0-1,2009,"ELDRIDGE, JOHN;"
THERAPEUTIC IMMUNIZATION AGAINST HIV WITH ADJUVANT-ENHANCED DNA AND MULTI-EPITOP,272200800062C-2-0-1,2011,"ELDRIDGE, JOHN;"
Development of Improved DNA Vaccines and Electroporation Delivery Devices for HIV,272200800063C-0-0-1,2008,
Development of Improved DNA Vaccines and Electroporation Delivery Devices for HIV,272200800063C-1-0-1,2009,"SARDESAI, NIRANJAN;"
Development of Improved DNA Vaccines and Electroporation Delivery Devices for HIV,272200800063C-2-0-1,2010,"SARDESAI, NIRANJAN;"
Development of Improved DNA Vaccines and Electroporation Delivery Devices for HIV,272200800063C-4-0-1,2011,"SARDESAI, NIRANJAN;"
MANAGEMENT OF INFORMATION RESOURCES ON THERAPEUTIC AGENTS FOR HIV AND OPPORTUNIS,272200900001C-0-0-1,2009,"TAYLOR, TRAVIS J;"
MANAGEMENT OF INFORMATION RESOURCES ON THERAPEUTIC AGENTS FOR HIV AND OPPORTUNIS,272200900001C-2-0-1,2010,"RUSH, MARGARET ANDREWS;"
MGMT OF INFO RESOURCES ON THERAPEUTIC AGENTS FOR HIV AND OPPORTUNISTIC INFECTIONS,272200900001C-3-0-1,2011,"RUSH, MARGARET;"
NIAID HIV/AIDS Scientific and Operations Support,272200900002I-0-27200001-1,2009,
SAMBA HIV Point of Care Nucleic Acid System for Resource Limited Settings,272200900028C-0-0-1,2009,"LEE, HELEN;"
SAMBA HIV Point of Care Nucleic Acid System for Resource Limited Settings,272200900028C-2-0-1,2011,"LEE, HELEN;"
EO-NAT HIV Rapid Point-of-Care Diagnostic Device for Resource-Limited Settings,272200900029C-0-0-1,2009,
Digital Microfluidic Rapid HIV Point-of-Care Diagnostic Device for Resource Limit,272200900030C-0-0-1,2009,"POLLACK, MICHAEL;"
COMPREHENSIVE RESOURCES FOR HIV MICROBICIDE AND BIOMEDICAL PREVENTION,272201000001C-1-0-1,2010,"MARKHAM, PHILLIP D.;"
COMPREHENSIVE RESOURCES FOR HIV MICROBICIDE AND BIOMEDICAL PREVENTION,272201000001C-4-0-1,2011,"MARKHAM, PHILLIP D.;"
NIAID CLINICAL RESEARCH AUDITING,272201000005C-2-0-1,2011,"PETERSON, JAN;"
TAS::75 0885::TAS NIAID/DIVISION OF AIDS:CLINICAL SITE AND STUDY MONITORING,272201000008C-1-0-1,2010,"VARGAS, MICHELLE;"
NIAID/DIVISION OF AIDS:CLINICAL SITE AND STUDY MONITORING,272201000008C-2-0-1,2011,"VARGAS, MICHELLE;"
NIAID/Division of AIDS Regulatory Support Center,272201000013C-1-0-1,2010,"BUTLER, SANDRA;"
NIAID/Division of AIDS Regulatory Support Center,272201000013C-4-0-1,2011,"RAFI, ASIMAH;"
TAS::75 0885::TAS NONHUMAN PRIMATE CORE CELLULAR IMMUNOLOGY LABORATORY FOR AIDS ,272201000028C-0-0-1,2010,"LETVIN, NORMAN;"
NONHUMAN PRIMATE CORE CELLULAR IMMUNOLOGY LABORATORY FOR AIDS ,272201000028C-1-0-1,2011,"LETVIN, NORMAN;"
TAS::75 0885::TASEXTERNAL QUALITY ASSURANCE PROGRAM OVERSIGHT LABORATORY,272201000045C-0-0-1,2010,"DENNY, THOMAS;"
EXTERNAL QUALITY ASSURANCE PROGRAM OVERSIGHT LABORATORY,272201000045C-2-0-1,2011,"DENNY, THOMAS;"
NONHUMAN PRIMATE CORE HUMORAL IMMUNOLOGY LAB AIDS VACCINE R&D,272201100016C-0-0-1,2011,"MONTEFIORI, DAVID;"
NIAID Preclinical Development Support,272201100021I-0-27200001-1,2011,"COALE, WILLIAM;"
NIAID Preclinical Development Support,272201100021I-0-27200002-1,2011,"COALE, WILLIAM;"
NONHUMAN PRIMATE CORE QUANT IRAL RNA LABORATORY FOR AIDS VACCINE R&D,272201100022C-0-0-1,2011,"PAL, RANAJIT;"
Reagent Resource Support Program for AIDS Vaccine Development,272201100023C-1-0-1,2011,"BROWN, RONALD;"
AIDS RESEARCH (MANAGEMENT/SUPPORT),272201100290U-0-0-1,2011,"HAMM, SUSAN;"
SECRETED SOD AND HAEMOPHILUS DUCREYI PATHOGENESIS,F31AI009565,1997,"SAN MATEO, LANI R;"
SECRETED SOD AND HAEMOPHILUS DUCREYI PATHOGENESIS,F31AI009565,1998,"SAN MATEO, LANI R;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI009835,1997,"KITCHEN, CHRISTINA MICHELLE RAMIREZ;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI009835,1998,"KITCHEN, CHRISTINA MICHELLE RAMIREZ;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010060,1998,"STANCIL, TONYA R;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010060,1999,"STANCIL, TONYA R;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010069,1998,"SENGUPTA, SOHINI;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010129,1999,"MAITTA, ROBERT W;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010129,2001,"MAITTA, ROBERT W;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010129,2002,"MAITTA, ROBERT W;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010129,2003,"MAITTA, ROBERT W;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010129,2004,"MAITTA, ROBERT W;"
MINORITY PREDOCTORAL FELLOWSHIP,F31AI010288,2000,"KELLY, ROBERT J;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010346,1999,"BENNETT, MOSI K;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010346,2001,"BENNETT, MOSI K;"
SALMONELLA AS A VACCINE TOOL AGAINST HIV,F31AI010487,2000,"GURNER, DEBORAH M;"
SALMONELLA AS A VACCINE TOOL AGAINST HIV,F31AI010487,2001,"GURNER, DEBORAH M;"
SALMONELLA AS A VACCINE TOOL AGAINST HIV,F31AI010487,2002,"GURNER, DEBORAH M;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010493,2000,"MOORE, RYAN E;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010493,2001,"MOORE, RYAN E;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010493,2002,"MOORE, RYAN E;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010493,2003,"MOORE, RYAN E;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI010493,2004,"MOORE, RYAN E;"
EFFECT OF SIV SMM PB J14 NEF ON DENDRITIC CELL FUNCTION,F31AI010536,2000,"WEBSTER DE CRUZ, RAMOTHEA L;"
EFFECT OF SIV SMM PB J14 NEF ON DENDRITIC CELL FUNCTION,F31AI010536,2001,"WEBSTER DE CRUZ, RAMOTHEA L;"
EFFECT OF SIV SMM PB J14 NEF ON DENDRITIC CELL FUNCTION,F31AI010536,2002,"WEBSTER DE CRUZ, RAMOTHEA L;"
EFFECT OF SIV SMM PB J14 NEF ON DENDRITIC CELL FUNCTION,F31AI010536,2003,"WEBSTER DE CRUZ, RAMOTHEA L;"
CLASS I DOWN-REGULATION OF GUINEA PIG CYTOMEGALOVIRUS,F31AI010537,2000,"LACAYO, JUAN C;"
CLASS I DOWN-REGULATION OF GUINEA PIG CYTOMEGALOVIRUS,F31AI010537,2001,"LACAYO, JUAN C;"
CLASS I DOWN-REGULATION OF GUINEA PIG CYTOMEGALOVIRUS,F31AI010537,2002,"LACAYO, JUAN C;"
ACTIVATION OF GSK-3 BETA BY CANDIDATE HIV NEUROTOXINS,F31AI010666,2001,"RAMIREZ, SERVIO H;"
ACTIVATION OF GSK-3 BETA BY CANDIDATE HIV NEUROTOXINS,F31AI010666,2002,"RAMIREZ, SERVIO H;"
ACTIVATION OF GSK-3 BETA BY CANDIDATE HIV NEUROTOXINS,F31AI010666,2003,"RAMIREZ, SERVIO H;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI050249,2001,"VELARDE, JORGE J;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI050249,2002,"VELARDE, JORGE J;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI050249,2003,"VELARDE, JORGE J;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI050249,2004,"VELARDE, JORGE J;"
Minority Predoctoral Fellowship Program,F31AI050253,2001,"DOMENECH, FRANCESCA;"
Functional Role of Invariant HIV-1 Protease Residues,F31AI050254,2001,"LAVASTA, JEANETTE;"
Minority Predoctoral Fellowship Program,F31AI054326,2003,"ONWUEME, KENOLISA C;"
Minority Predoctoral Fellowship Program,F31AI054326,2005,"ONWUEME, KENOLISA C;"
Minority Predoctoral Fellowship Program,F31AI054326,2006,"ONWUEME, KENOLISA C;"
Phage Vectors for HIV Vaccine Development,F31AI054330,2003,"SANTOS, KATHLYN;"
Phage Vectors for HIV Vaccine Development,F31AI054330,2004,"SANTOS, KATHLYN;"
Phage Vectors for HIV Vaccine Development,F31AI054330,2005,"SANTOS, KATHLYN;"
Phage Vectors for HIV Vaccine Development,F31AI054330,2005,"SANTOS, KATHLYN;"
Phage Vectors for HIV Vaccine Development,F31AI054330,2006,"SANTOS, KATHLYN;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI056656,2003,"OCAMPO, CHRISTOPHER J;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI056656,2004,"OCAMPO, CHRISTOPHER J;"
MINORITY PREDOCTORAL FELLOWSHIP PROGRAM,F31AI056656,2005,"OCAMPO, CHRISTOPHER J;"
Minority Predoctoral Fellowship,F31AI056660,2004,"DEW, ELLIOTT;"
Minority Predoctoral Fellowship,F31AI056660,2005,"DEW, ELLIOTT;"
Minority Predoctoral Fellowship,F31AI056660,2006,"DEW, ELLIOTT;"
MINORITY PREDOCTORIAL FELLOWSHIP PROGRAM,F31AI058913,2004,"THRASHER, ANGELA DENISE;"
MINORITY PREDOCTORIAL FELLOWSHIP PROGRAM,F31AI058913,2005,"THRASHER, ANGELA DENISE;"
MINORITY PREDOCTORIAL FELLOWSHIP PROGRAM,F31AI058913,2006,"THRASHER, ANGELA DENISE;"
Racism and HIV Testing Among Black STD Patients,F31AI058914,2004,"FORD, CHANDRA L;"
Racism and HIV Testing Among Black STD Patients,F31AI058914,2005,"FORD, CHANDRA L;"
HIV-1 Induction of Intracellular Host Defense Mechanisms,F31AI061828,2004,"RAICES, RAQUEL M;"
HIV-1 Induction of Intracellular Host Defense Mechanisms,F31AI061828,2006,"RAICES, RAQUEL M;"
HIV-1 Induction of Intracellular Host Defense Mechanisms,F31AI061828,2007,"RAICES, RAQUEL M;"
HIV-1 Vpr for dNTP Biosynthesis,F31AI064136,2006,"CHUGH, PAULINE E;"
HIV-1 Vpr for dNTP Biosynthesis,F31AI064136,2007,"CHUGH, PAULINE E;"
MINORITY PREDOCTORAL FELLOWSHIP,F31AI064144,2005,"GUADAMUZ, THOMAS E;"
MINORITY PREDOCTORAL FELLOWSHIP,F31AI064144,2006,"GUADAMUZ, THOMAS E;"
T cell dynamics in SIV infection of Sooty Mangabeys,F31AI066400,2006,"GORDON, SHARI NOELLE;"
T cell dynamics in SIV infection of Sooty Mangabeys,F31AI066400,2007,"GORDON, SHARI NOELLE;"
Minority Predoctoral Fellowship Program,F31AI066402,2008,"RICARDO-GONZALEZ, ROBERTO R;"
Why do AIDS patients die in the era of HAART?,F31AI068607,2006,"CHEN, SANNY Y;"
T cell immunity to genes encoded by rAAV vectors,F31AI068609,2006,"VELAZQUEZ BEST, VICTORIA M;"
T cell immunity to genes encoded by rAAV vectors,F31AI068609,2007,"VELAZQUEZ BEST, VICTORIA M;"
T cell immunity to genes encoded by rAAV vectors,F31AI068609,2008,"VELAZQUEZ BEST, VICTORIA M;"
Mechanisms of Transmigration of HIV Infected Cells Across the Blood Brain Barrier,F31AI071326,2007,"ROBERTS, TONI KAY;"
Mechanisms of Transmigration of HIV Infected Cells Across the Blood Brain Barrier,F31AI071326,2008,"ROBERTS, TONI KAY;"
Mechanisms of Transmigration of HIV Infected Cells Across the Blood Brain Barrier,F31AI071326,2009,"ROBERTS, TONI KAY;"
Mechanisms of Transmigration of HIV Infected Cells Across the Blood Brain Barrier,F31AI071326,2010,"ROBERTS, TONI KAY;"
Immunology Training Grant,F31AI071380,2007,"VOLCY, KETNA;"
Modified lambda phage for HIV vaccine delivery,F31AI071380,2008,"VOLCY, KETNA;"
Modified lambda phage for HIV vaccine delivery,F31AI071380,2009,"VOLCY, KETNA;"
Role of the deubiquitinating enzyme AMSH,F31AI073227,2008,"SIERRA, MARIA ISABEL;"
Role of the deubiquitinating enzyme AMSH,F31AI073227,2009,"SIERRA, MARIA ISABEL;"
The Role of Rab24 in HIV-1 Assembly,F31AI075570,2008,"DEL PORTILLO, ARMANDO;"
The Role of Rab24 in HIV-1 Assembly,F31AI075570,2009,"DEL PORTILLO, ARMANDO;"
The Role of Rab24 in HIV-1 Assembly,F31AI075570,2010,"DEL PORTILLO, ARMANDO;"
Helminth Modulation of the Protective Immune Response to Tuberculosis,F31AI075859,2007,"POTIAN, JULIUS ANDREW;"
Helminth Modulation of the Protective Immune Response to Tuberculosis,F31AI075859,2008,"POTIAN, JULIUS ANDREW;"
Helminth Modulation of the Protective Immune Response to Tuberculosis,F31AI075859,2009,"POTIAN, JULIUS ANDREW;"
Interaction of HIV with Macaque Genital Tract,F31AI077321,2008,"CARIAS, ANN M;"
Interaction of HIV with Macaque Genital Tract,F31AI077321,2010,"CARIAS, ANN M;"
Interaction of HIV with Macaque Genital Tract,F31AI077321,2011,"CARIAS, ANN M;"
Interaction of HIV with Macaque Genital Tract,F31AI077321,2012,"CARIAS, ANN M;"
Elucidation of the Mechanisms of CD8+ T Cell Noncytolytic Antiviral Response,F31AI078715,2009,"SAUNDERS, KEVIN O;"
Elucidation of the Mechanisms of CD8+ T Cell Noncytolytic Antiviral Response,F31AI078715,2010,"SAUNDERS, KEVIN O;"
Small molecule inhibitors of a Candida albicans histone modifying enzyme,F31AI078726,2009,"LOPES DA ROSA-SPIEGLER, JESSICA RAMOS;"
Small molecule inhibitors of a Candida albicans histone modifying enzyme,F31AI078726,2010,"LOPES DA ROSA-SPIEGLER, JESSICA RAMOS;"
Small molecule inhibitors of a Candida albicans histone modifying enzyme,F31AI078726,2011,"LOPES DA ROSA-SPIEGLER, JESSICA RAMOS;"
Small molecule inhibitors of a Candida albicans histone modifying enzyme,F31AI078726,2012,"LOPES DA ROSA-SPIEGLER, JESSICA RAMOS;"
Mapping The Proteome Of The Syntrophic Lifestyle,F31AI078741,2009,"SAMOS, JUNI TAYLOR;"
Mapping The Proteome Of The Syntrophic Lifestyle,F31AI078741,2010,"SAMOS, JUNI TAYLOR;"
Acceptability and feasbility of the HPV vaccine schedule in female sex workers,F31AI080187,2009,"BROWN, BRANDON JOHN;"
Acceptability and feasbility of the HPV vaccine schedule in female sex workers,F31AI080187,2010,"BROWN, BRANDON JOHN;"
HIV DNA in CNS Compartments Relation to HIV-Associated Neurocognitive Disorders,F31AI081450,2009,"AGSALDA, MELISSA ANNE;"
HIV DNA in CNS Compartments Relation to HIV-Associated Neurocognitive Disorders,F31AI081450,2010,"AGSALDA, MELISSA ANNE;"
HIV-1's Viral and Host Protein Interactions Determine the Site of Virion Budding,F31AI081484,2009,"EMEAGWALI, NKIRUKA ANWULIKA;"
HIV-1's Viral and Host Protein Interactions Determine the Site of Virion Budding,F31AI081484,2010,"EMEAGWALI, NKIRUKA ANWULIKA;"
"KIF4 motor protein, regulates trafficking and stability of HIV-1 Gag",F31AI081524,2009,"MARTINEZ, NATHANIEL W.;"
"KIF4 motor protein, regulates trafficking and stability of HIV-1 Gag",F31AI081524,2010,"MARTINEZ, NATHANIEL W.;"
Epidemiology of HHV-8 Transmission in Lusaka Zambia,F31AI081525,2009,"CRABTREE, KAY LYNNE;"
Epidemiology of HHV-8 Transmission in Lusaka Zambia,F31AI081525,2010,"CRABTREE, KAY LYNNE;"
The Role of Cholesterol in HIV Pathogenesis: Implications for NPC2,F31AI082941,2009,"COLEMAN, EBONY MICHELLE;"
The Role of Cholesterol in HIV Pathogenesis: Implications for NPC2,F31AI082941,2010,"COLEMAN, EBONY MICHELLE;"
Design and discovery of HIV-1 IN inhibitors with a novel mechanism of action,F31AI082942,2009,"SANCHEZ, TINO WILSON;"
Design and discovery of HIV-1 IN inhibitors with a novel mechanism of action,F31AI082942,2010,"SANCHEZ, TINO WILSON;"
Characterization of the Molecular Mechanism of MVA-induced NF-kappaB Activation,F31AI082947,2009,"MARTIN, STEFANI;"
Characterization of the Molecular Mechanism of MVA-induced NF-kappaB Activation,F31AI082947,2010,"MARTIN, STEFANI;"
Characterization of the Molecular Mechanism of MVA-induced NF-kappaB Activation,F31AI082947,2011,"MARTIN, STEFANI;"
Characterization of the Molecular Mechanism of MVA-induced NF-kappaB Activation,F31AI082947,2012,"MARTIN, STEFANI;"
Caveolin-1 and negative modulation of HIV-1 replication,F31AI082950,2009,"SIMMONS, GLENN EDWARD;"
Caveolin-1 and negative modulation of HIV-1 replication,F31AI082950,2010,"SIMMONS, GLENN EDWARD;"
Determining the roles(s) of HIV-1 Nef in enhancement of virion infectivity,F31AI083167,2009,"LANG, MICHELLE J;"
Determining the roles(s) of HIV-1 Nef in enhancement of virion infectivity,F31AI083167,2010,"LANG, MICHELLE J;"
Determining the roles(s) of HIV-1 Nef in enhancement of virion infectivity,F31AI083167,2011,"LANG, MICHELLE J;"
HIV-induced 5-Lipoxygenase: Role in HIV-related Pulmonary Arterial Hypertension,F31AI084460,2009,"PORTER, KRISTI MICHELLE;"
HIV-induced 5-Lipoxygenase: Role in HIV-related Pulmonary Arterial Hypertension,F31AI084460,2010,"PORTER, KRISTI MICHELLE;"
Role of TRIM proteins in the innate cellular antiviral response to HCV,F31AI084487,2009,"DIMBERU, PENIEL MULUGETA;"
Role of TRIM proteins in the innate cellular antiviral response to HCV,F31AI084487,2010,"DIMBERU, PENIEL MULUGETA;"
Biochemical Characterization of Cytochrome b5 Reductase in Candida albicans,F31AI084557,2009,"HOLLOWAY, MARY JOLENE PATRICIA;"
Biochemical Characterization of Cytochrome b5 Reductase in Candida albicans,F31AI084557,2010,"HOLLOWAY, MARY JOLENE PATRICIA;"
The Role of Seminal Amyloid Fibrils in HIV-1 transmission on cervical mucosa,F31AI084563,2009,"VELEZ, ROSA AMELIA;"
The Role of Seminal Amyloid Fibrils in HIV-1 transmission on cervical mucosa,F31AI084563,2010,"VELEZ, ROSA AMELIA;"
The Role of CyclophilinA in the Evolution of Retroviral Restriction,F31AI084620,2009,"MALFAVON-BORJA, RAYMOND;"
The Role of CyclophilinA in the Evolution of Retroviral Restriction,F31AI084620,2010,"MALFAVON-BORJA, RAYMOND;"
Evaluating self-protection of Th17 cells against HIV-1 by CCR5 Ligands Synthesis,F31AI085958,2010,"ALVAREZ, YELINA;"
Evaluating self-protection of Th17 cells against HIV-1 by CCR5 Ligands Synthesis,F31AI085958,2011,"ALVAREZ, YELINA;"
Evaluating self-protection of Th17 cells against HIV-1 by CCR5 Ligands Synthesis,F31AI085958,2012,"ALVAREZ, YELINA;"
Interleukin-21 Immune Mediated Control of HIV-1,F31AI085970,2010,"WILLIAMS, LATONYA DENISE;"
Interleukin-21 Immune Mediated Control of HIV-1,F31AI085970,2011,"WILLIAMS, LATONYA DENISE;"
Modulating anti-HIV immunity by plasmacytoid dendritic cells,F31AI089030,2010,"MELISSA, FERNANDEZ VICTORIA;"
Modulating anti-HIV immunity by plasmacytoid dendritic cells,F31AI089030,2011,"FERNANDEZ, MELISSA VICTORIA;"
Modulating anti-HIV immunity by plasmacytoid dendritic cells,F31AI089030,2012,"FERNANDEZ, MELISSA VICTORIA;"
Interaction between HIV-1 Vif and a Host Key Immune Regulator Component,F31AI091326,2011,"EVANS, SEAN LAMONTE;"
Interaction between HIV-1 Vif and a Host Key Immune Regulator Component,F31AI091326,2012,"EVANS, SEAN LAMONTE;"
Characterization of Mortalin's interaction with HIV-1 Nef and role in Nef vesicle,F31AI091484,2011,"SHELTON, MARTIN NEVILLE;"
Phosphorylation of CDK9 by CDK2 in HIV-1 replication,F31AI091551,2011,"BREUER, DENITRA;"
A Comparative Study of M. tuberculosis and M. bovis BCG of T cell responses,F31AI094957,2011,"GRACE, PATRICIA;"
A Comparative Study of M. tuberculosis and M. bovis BCG of T cell responses,F31AI094957,2012,"GRACE, PATRICIA;"
ANALYSIS OF FELINE AIDS RETROVIRUS GLYCOPROTEINS,F32AI007814,1989,"POSS, MARY L.;"
ANALYSIS OF FELINE AIDS RETROVIRUS GLYCOPROTEINS,F32AI007814,1990,"POSS, MARY L.;"
HIV-HSV INTERACTIONS IN MONONUCLEAR CELL LINES,F32AI007821,1989,"NIES, MARY A.;"
CELLULAR IMMUNITY IN AIDS,F32AI007839,1989,"CURIEL, TYLER J.;"
HETEROGENEITY OF AIDS VIRUS ISOLATES,F32AI007841,1989,"BUCKHEIT, ROBERT WALTER;"
APPROACHES TO TREATMENT OF PATIENTS WITH AIDS,F32AI007922,1989,"SHADDUCK, PHILLIP P;"
ANTIVIRAL DRUG COMBINATIONS IN HIV INFECTIONS,F32AI007933,1989,"JOHNSON, VICTORIA A;"
INHIBITION OF HIV REPLICATION BY ANTI-SENSE RNA,F32AI007995,1989,"GARCIA-MARTINEZ, J. VICTOR;"
CHARACTER OF CELLULAR DETERMINANTS OF HIV INFECTION,F32AI008090,1989,"PAGE, KATHLEEN A;"
CHARACTER OF CELLULAR DETERMINANTS OF HIV INFECTION,F32AI008090,1990,"PAGE, KATHLEEN A;"
CHARACTER OF CELLULAR DETERMINANTS OF HIV INFECTION,F32AI008090,1991,"PAGE, KATHLEEN A;"
VIROLOGY AND IMMUNOLOGY OF PRIMARY HIV-1 INFECTION,F32AI008094,1989,"JOHNSON, R. PAUL;"
VIROLOGY AND IMMUNOLOGY OF PRIMARY HIV-1 INFECTION,F32AI008094,1990,"JOHNSON, R. PAUL;"
VIROLOGY AND IMMUNOLOGY OF PRIMARY HIV-1 INFECTION,F32AI008094,1991,"JOHNSON, R. PAUL;"
HIV LATENCY/PERSISTENCE IN PRIMARY CELLS,F32AI008145,1989,"ZACK, JEROME A.;"
HIV LATENCY/PERSISTENCE IN PRIMARY CELLS,F32AI008145,1991,"ZACK, JEROME A.;"
QUANTITATION OF ISOLATION OF DRUG RESISTANT HIV IN VITRO,F32AI008263,1991,"ERON, JOSEPH J.;"
MECHANISTIC STUDIES OF HIV REVERSE TRANSCRIPTASE,F32AI008275,1990,"PELISKA, JAMES A;"
MECHANISTIC STUDIES OF HIV REVERSE TRANSCRIPTASE,F32AI008275,1991,"PELISKA, JAMES A;"
